"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_license_str","license_license_str15","license_license_abbrev","license_license_nick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","x3pt_success","x3pt_tried","x3pt_percentage","x2pt_success","x2pt_tried","x2pt_percentage","x1pt_success","x1pt_tried","x1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified","abb"
2137503,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91425,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",20211129,20211129,20211129,"Jaime  Pradilla Gayán","Jaime Pradilla","J. Pradilla","Pradilla","202",FALSE,202,NA,1,"4",8,1273,0,2,0,3,3,100,2,4,50,3,1,4,3,1,1,2,0,0,0,0,3,14,1,1,15,0,"VBC"
2137501,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91455,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",20209187,20209187,20209187,"Guillermo Gustavo Hernangómez Geuer","Willy Hernangómez","W. Hernangómez","Hernangómez","202",FALSE,202,NA,1,"14",9,826,0,0,0,3,4,75,3,4,75,1,2,3,0,0,0,0,0,0,0,0,3,13,1,0,-13,0,"BAR"
2137489,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91437,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30000032,30000032,21100034,"Matthew Tyler Costello ","Matt Costello","M. Costello","Costello","202",FALSE,202,NA,1,"24",9,1219,3,5,60,0,0,0,0,0,0,5,1,6,0,1,0,0,0,0,0,1,0,13,0,0,-3,0,"VBC"
2137487,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91439,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30001360,30001360,21101130,"Sergio  de Larrea Asenjo","Sergio de Larrea","S. de Larrea","De Larrea ","202",FALSE,202,NA,1,"5",2,1174,0,0,0,0,4,0,2,2,100,1,0,1,6,0,3,0,0,0,0,1,3,4,1,0,7,0,"VBC"
2137486,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91440,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30004053,30004053,21103564,"Isaac  Nogués Gonzalez","Isaac Nogués","I. Nogués","Nogués","202",FALSE,202,NA,1,"32",2,441,0,0,0,0,1,0,2,2,100,1,0,1,0,1,0,0,0,0,0,3,1,1,0,1,-8,0,"VBC"
2137485,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91466,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30000037,30000037,20212958,"Youssoupha Birima Fall ","Youssoupha Fall","Y. Fall","Fall","202",FALSE,202,NA,1,"19",3,413,0,0,0,1,4,25,1,1,100,0,3,3,0,0,1,0,0,1,0,0,2,3,0,0,-7,0,"BAR"
2137488,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91733,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30002683,30002683,21102293,"Ikenna Ugochukwu Iroegbu ","Ike Iroegbu","I. Iroegbu","Iroegbu","202",FALSE,202,NA,0,"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VBC"
2137499,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91459,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",20203955,20203955,20203955,"Tornike  Shengelia ","Tornike Shengelia","T. Shengelia","Shengelia","202",FALSE,202,NA,1,"23",10,1264,1,4,25,3,6,50,1,1,100,3,2,5,4,1,4,0,1,0,1,2,2,11,1,1,-7,0,"BAR"
2137498,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91461,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30003948,30003948,21103472,"Myles Alexander Cale ","Myles Cale","M. Cale","Cale","202",FALSE,202,NA,1,"3",5,1160,1,3,33,1,1,100,0,0,0,3,1,4,0,0,0,0,0,0,0,1,0,6,1,0,-17,0,"BAR"
2137497,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91460,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30003977,30003977,21103496,"William Dalen Clyburn ","Will Clyburn","W. Clyburn","Clyburn","202",FALSE,202,NA,1,"21",16,1445,1,5,20,6,6,100,1,4,25,6,3,9,2,2,1,7,0,0,3,2,4,23,0,1,8,0,"BAR"
2137483,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91465,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",20202163,20202163,20202163,"Tomas  Satoransky ","Tomas Satoransky","T. Satoransky","Satoransky","202",FALSE,202,NA,1,"13",6,1398,0,2,0,3,3,100,0,0,0,1,1,2,5,1,3,0,0,0,0,3,2,8,0,1,-2,0,"BAR"
2137484,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91463,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30000108,30000108,21102315,"Juan Ignacio Marcos ","Juani Marcos","J. Marcos","Marcos","202",FALSE,202,NA,1,"2",3,1002,1,4,25,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,-3,1,0,-10,0,"BAR"
2137494,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91429,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30001981,30001981,21101650,"Kameron Milton Allante Taylor ","Kameron Taylor","K. Taylor","Taylor","202",FALSE,202,NA,1,"1",11,1440,2,3,66,1,5,20,3,3,100,4,0,4,5,0,1,0,0,0,0,1,1,14,1,1,9,0,"VBC"
2137493,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91434,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30002724,30002724,21102352,"Nathan Donald Reuvers ","Nate Reuvers","N. Reuvers","Reuvers","202",FALSE,202,NA,1,"3",11,1109,1,2,50,2,2,100,4,4,100,1,0,1,0,0,0,0,0,1,1,4,3,9,1,1,3,0,"VBC"
2137490,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91436,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30000107,30000107,21100103,"El Hadji Omar Brancou Badio ","Brancou Badio","B. Badio","Badio","202",FALSE,202,NA,1,"0",4,808,1,4,25,0,2,0,1,2,50,0,1,1,2,0,3,0,1,0,0,1,2,0,0,0,6,0,"VBC"
2137502,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91457,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",20209919,20209919,20209919,"Darío  Brizuela Arrieta","Darío Brizuela","D. Brizuela","Brizuela","202",FALSE,202,NA,1,"8",9,878,1,7,14,3,5,60,0,0,0,0,0,0,1,1,1,2,0,0,0,4,0,-2,0,1,-3,0,"BAR"
2137492,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91432,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30003973,30003973,21103492,"Neal Omar Sako ","Neal Sako","N. Sako","Sako","202",FALSE,202,NA,1,"12",13,1060,0,0,0,5,6,83,3,4,75,2,2,4,2,2,0,4,0,1,2,2,2,18,0,0,15,0,"VBC"
2137505,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,NA,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,1,0,0,0,0,1,0,2,0,0,0,0,"BAR"
2137491,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91433,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30001900,30001900,21101582,"Darius Jamar Thompson ","Darius Thompson","D. Thompson","Thompson","202",FALSE,202,NA,1,"13",16,1075,3,3,100,2,4,50,3,3,100,3,2,5,4,1,0,0,1,0,0,3,3,25,0,0,9,0,"VBC"
2137500,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91458,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",20212265,20212265,20212265,"Joel  Parra i López","Joel Parra","J. Parra","Parra","202",FALSE,202,NA,1,"44",12,1452,2,6,33,2,4,50,2,2,100,2,1,3,1,0,0,0,1,0,0,1,2,12,0,1,-3,0,"BAR"
2137482,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91468,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30001949,30001949,21101623,"Jan  Vesely ","Jan Vesely","J. Vesely","Vesely","202",FALSE,202,NA,1,"6",0,845,0,0,0,0,2,0,0,0,0,0,1,1,1,2,0,0,1,1,0,0,2,4,0,0,6,0,"BAR"
2137481,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91467,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30003361,30003361,21102914,"Kevin Xavier Punter ","Kevin Punter","K. Punter","Punter","202",FALSE,202,NA,1,"0",8,1317,2,4,50,1,5,20,0,0,0,1,1,2,1,1,1,0,0,0,0,3,2,4,1,0,-12,0,"BAR"
2137480,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,91872,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",30004065,30004065,21103575,"Nikola  Kusturica ","Nikola Kusturica","N. Kusturica","Kusturica","202",FALSE,202,NA,0,"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BAR"
